OA Code,Ward Name,LA Name,Region Name,QS112EW0002,QS112EW0001 (base),OA Percentage
E00115947,Forton,Gosport,South East,31,336,9.2300,
E00115953,Forton,Gosport,South East,53,178,29.7800,
E00168122,Christchurch,Gosport,South East,52,226,23.0100,
E00116046,Privett,Gosport,South East,27,324,8.3300,
E00116045,Peel Common,Gosport,South East,47,309,15.2100,
E00116063,Rowner and Holbrook,Gosport,South East,66,295,22.3700,
E00115934,Elson,Gosport,South East,29,341,8.5000,
E00115968,Grange,Gosport,South East,63,343,18.3700,
E00115969,Grange,Gosport,South East,29,382,7.5900,
E00115856,Anglesey,Gosport,South East,30,369,8.1300,
E00115908,Brockhurst,Gosport,South East,80,292,27.4000,
E00116067,Rowner and Holbrook,Gosport,South East,22,371,5.9300,
E00116019,Leesland,Gosport,South East,48,248,19.3500,
E00115928,Elson,Gosport,South East,26,358,7.2600,
E00115896,Bridgemary South,Gosport,South East,43,255,16.8600,
E00116061,Rowner and Holbrook,Gosport,South East,15,335,4.4800,
E00115967,Grange,Gosport,South East,29,541,5.3600,
E00115945,Forton,Gosport,South East,37,307,12.0500,
E00168130,Town,Gosport,South East,56,295,18.9800,
E00115846,Alverstoke,Gosport,South East,35,272,12.8700,
E00116058,Privett,Gosport,South East,18,391,4.6000,
E00115855,Anglesey,Gosport,South East,58,349,16.6200,
E00115905,Brockhurst,Gosport,South East,45,260,17.3100,
E00115909,Brockhurst,Gosport,South East,46,392,11.7300,
E00115988,Hardway,Gosport,South East,31,321,9.6600,
E00115852,Alverstoke,Gosport,South East,37,269,13.7500,
E00115895,Bridgemary South,Gosport,South East,69,191,36.1300,
E00115870,Bridgemary North,Gosport,South East,23,378,6.0800,
E00115867,Bridgemary North,Gosport,South East,34,302,11.2600,
E00116068,Rowner and Holbrook,Gosport,South East,6,243,2.4700,
E00115977,Hardway,Gosport,South East,30,385,7.7900,
E00115984,Hardway,Gosport,South East,20,358,5.5900,
E00115889,Bridgemary South,Gosport,South East,54,170,31.7600,
E00116047,Privett,Gosport,South East,25,320,7.8100,
E00115929,Elson,Gosport,South East,33,317,10.4100,
E00115849,Alverstoke,Gosport,South East,32,264,12.1200,
E00115975,Grange,Gosport,South East,27,298,9.0600,
E00116088,Town,Gosport,South East,32,267,11.9900,
E00115847,Alverstoke,Gosport,South East,55,215,25.5800,
E00168132,Christchurch,Gosport,South East,64,200,32.0000,
E00115907,Brockhurst,Gosport,South East,23,262,8.7800,
