OA Code,Ward Name,LA Name,Region Name,QS701EW0010,QS701EW0001 (base),OA Percentage
E00086519,St Thomas,Portsmouth,South East,7,191,3.6600,
E00086479,St Jude,Portsmouth,South East,10,198,5.0500,
E00086060,Charles Dickens,Portsmouth,South East,16,212,7.5500,
E00086225,Eastney and Craneswater,Portsmouth,South East,13,226,5.7500,
E00086221,Eastney and Craneswater,Portsmouth,South East,4,124,3.2300,
E00086460,St Jude,Portsmouth,South East,12,345,3.4800,
E00086496,St Jude,Portsmouth,South East,12,212,5.6600,
E00085959,Baffins,Portsmouth,South East,6,127,4.7200,
E00086078,Copnor,Portsmouth,South East,12,216,5.5600,
E00086503,St Thomas,Portsmouth,South East,5,331,1.5100,
E00086369,Nelson,Portsmouth,South East,11,187,5.8800,
E00085927,Baffins,Portsmouth,South East,2,164,1.2200,
E00086387,Nelson,Portsmouth,South East,11,226,4.8700,
E00086484,St Jude,Portsmouth,South East,16,313,5.1100,
E00086542,St Thomas,Portsmouth,South East,8,254,3.1500,
E00086471,St Jude,Portsmouth,South East,13,252,5.1600,
E00086189,Eastney and Craneswater,Portsmouth,South East,15,240,6.2500,
E00174450,St Thomas,Portsmouth,South East,5,155,3.2300,
E00086530,St Thomas,Portsmouth,South East,5,255,1.9600,
E00086511,St Thomas,Portsmouth,South East,16,380,4.2100,
E00086350,Milton,Portsmouth,South East,7,130,5.3800,
E00086281,Hilsea,Portsmouth,South East,16,274,5.8400,
E00086200,Eastney and Craneswater,Portsmouth,South East,14,214,6.5400,
E00085957,Baffins,Portsmouth,South East,11,209,5.2600,
E00086405,Nelson,Portsmouth,South East,3,138,2.1700,
E00086246,Fratton,Portsmouth,South East,11,239,4.6000,
E00086220,Eastney and Craneswater,Portsmouth,South East,15,196,7.6500,
E00086478,St Jude,Portsmouth,South East,3,251,1.2000,
E00174462,Charles Dickens,Portsmouth,South East,12,234,5.1300,
E00086457,St Jude,Portsmouth,South East,10,244,4.1000,
E00086045,Charles Dickens,Portsmouth,South East,5,143,3.5000,
E00086498,St Jude,Portsmouth,South East,10,193,5.1800,
E00086029,Charles Dickens,Portsmouth,South East,6,165,3.6400,
E00086021,Charles Dickens,Portsmouth,South East,4,190,2.1100,
E00086375,Nelson,Portsmouth,South East,18,293,6.1400,
E00086499,St Jude,Portsmouth,South East,19,270,7.0400,
E00086245,Fratton,Portsmouth,South East,14,172,8.1400,
E00086039,Charles Dickens,Portsmouth,South East,8,216,3.7000,
E00085937,Baffins,Portsmouth,South East,19,231,8.2300,
E00085949,Baffins,Portsmouth,South East,17,284,5.9900,
E00086533,St Thomas,Portsmouth,South East,7,129,5.4300,
E00086081,Copnor,Portsmouth,South East,10,261,3.8300,
E00086000,Central Southsea,Portsmouth,South East,10,241,4.1500,
E00086070,Copnor,Portsmouth,South East,15,245,6.1200,
E00085983,Central Southsea,Portsmouth,South East,14,318,4.4000,
E00086009,Central Southsea,Portsmouth,South East,10,207,4.8300,
E00086088,Copnor,Portsmouth,South East,14,225,6.2200,
E00085985,Central Southsea,Portsmouth,South East,15,264,5.6800,
E00086360,Milton,Portsmouth,South East,14,379,3.6900,
E00086412,Nelson,Portsmouth,South East,11,196,5.6100,
E00085992,Central Southsea,Portsmouth,South East,13,218,5.9600,
E00086090,Copnor,Portsmouth,South East,15,216,6.9400,
E00086539,St Thomas,Portsmouth,South East,9,263,3.4200,
E00086011,Central Southsea,Portsmouth,South East,18,294,6.1200,
E00086512,St Thomas,Portsmouth,South East,14,285,4.9100,
E00086328,Milton,Portsmouth,South East,20,216,9.2600,
E00086352,Milton,Portsmouth,South East,17,245,6.9400,
E00086354,Milton,Portsmouth,South East,8,139,5.7600,
E00086194,Eastney and Craneswater,Portsmouth,South East,22,217,10.1400,
E00086211,Eastney and Craneswater,Portsmouth,South East,17,295,5.7600,
E00086082,Copnor,Portsmouth,South East,8,220,3.6400,
E00085990,Central Southsea,Portsmouth,South East,18,260,6.9200,
E00086003,Central Southsea,Portsmouth,South East,17,245,6.9400,
E00086467,St Jude,Portsmouth,South East,6,175,3.4300,
E00086355,Milton,Portsmouth,South East,20,229,8.7300,
E00086480,St Jude,Portsmouth,South East,9,215,4.1900,
E00085969,Central Southsea,Portsmouth,South East,15,252,5.9500,
E00086401,Nelson,Portsmouth,South East,9,205,4.3900,
E00086228,Eastney and Craneswater,Portsmouth,South East,7,174,4.0200,
E00086290,Hilsea,Portsmouth,South East,10,279,3.5800,
E00086022,Charles Dickens,Portsmouth,South East,4,175,2.2900,
E00086494,St Jude,Portsmouth,South East,8,137,5.8400,
E00086073,Copnor,Portsmouth,South East,9,223,4.0400,
E00086269,Fratton,Portsmouth,South East,14,178,7.8700,
E00086526,St Thomas,Portsmouth,South East,13,253,5.1400,
E00086222,Eastney and Craneswater,Portsmouth,South East,7,176,3.9800,
E00086224,Eastney and Craneswater,Portsmouth,South East,19,262,7.2500,
E00086389,Nelson,Portsmouth,South East,10,231,4.3300,
E00086483,St Jude,Portsmouth,South East,12,180,6.6700,
E00086402,Nelson,Portsmouth,South East,9,199,4.5200,
E00086396,Nelson,Portsmouth,South East,12,140,8.5700,
E00086332,Milton,Portsmouth,South East,12,189,6.3500,
E00086317,Hilsea,Portsmouth,South East,14,296,4.7300,
E00086051,Charles Dickens,Portsmouth,South East,2,175,1.1400,
E00086409,Nelson,Portsmouth,South East,12,235,5.1100,
E00086461,St Jude,Portsmouth,South East,12,277,4.3300,
E00086218,Eastney and Craneswater,Portsmouth,South East,16,239,6.6900,
E00085965,Central Southsea,Portsmouth,South East,14,412,3.4000,
E00086098,Copnor,Portsmouth,South East,8,260,3.0800,
E00086074,Copnor,Portsmouth,South East,11,243,4.5300,
E00086500,St Jude,Portsmouth,South East,21,294,7.1400,
E00174444,Charles Dickens,Portsmouth,South East,7,179,3.9100,
E00085958,Baffins,Portsmouth,South East,22,353,6.2300,
E00085946,Baffins,Portsmouth,South East,27,265,10.1900,
E00086459,St Jude,Portsmouth,South East,14,229,6.1100,
E00086490,St Jude,Portsmouth,South East,13,227,5.7300,
E00086233,Fratton,Portsmouth,South East,15,232,6.4700,
E00086085,Copnor,Portsmouth,South East,13,241,5.3900,
E00086052,Charles Dickens,Portsmouth,South East,11,231,4.7600,
